=== account repatch: launch attempt 1 2026-06-19T09:19:48Z ===
T=30d: 107 affected cells to repatch (of 181 total)
  [11/109] block 16,705,200   134s: acct_R=1,707,086
  [12/109] block 16,755,600   134s: acct_R=2,077,313
  [13/109] block 16,806,000   133s: acct_R=2,388,869
  [14/109] block 16,856,400   134s: acct_R=2,500,842
  [15/109] block 16,906,800   136s: acct_R=2,481,770
  [16/109] block 16,957,200   137s: acct_R=2,485,164
  [17/109] block 17,007,600   135s: acct_R=2,452,021
  [18/109] block 17,058,000   135s: acct_R=2,368,261
  [19/109] block 17,108,400   137s: acct_R=2,199,701
  [20/109] block 17,158,800   132s: acct_R=2,093,386
  [21/109] block 17,209,200   136s: acct_R=2,050,283
  [22/109] block 17,259,600   134s: acct_R=2,018,545
  [23/109] block 17,310,000   134s: acct_R=2,003,398
  [24/109] block 17,360,400   136s: acct_R=1,891,195
  [25/109] block 17,410,800   135s: acct_R=1,830,974
  [26/109] block 17,461,200   133s: acct_R=1,863,486
  [27/109] block 17,511,600   135s: acct_R=1,915,542
  [28/109] block 17,562,000   139s: acct_R=1,983,197
  [29/109] block 17,612,400   138s: acct_R=1,981,540
  [30/109] block 17,662,800   134s: acct_R=1,980,813
  [31/109] block 17,713,200   134s: acct_R=2,065,100
  [32/109] block 17,763,600   137s: acct_R=2,092,580
  [33/109] block 17,814,000   135s: acct_R=2,189,192
  [34/109] block 17,864,400   132s: acct_R=2,212,824
  [35/109] block 17,914,800   135s: acct_R=2,137,021
  [36/109] block 17,965,200   133s: acct_R=2,139,863
  [37/109] block 18,015,600   132s: acct_R=2,137,528
  [38/109] block 18,066,000   134s: acct_R=2,134,136
  [39/109] block 18,116,400   132s: acct_R=2,025,491
  [40/109] block 18,166,800   130s: acct_R=1,945,691
  [41/109] block 18,217,200   129s: acct_R=1,924,580
  [42/109] block 18,267,600   132s: acct_R=1,949,025
  [43/109] block 18,318,000   131s: acct_R=2,032,712
  [44/109] block 18,368,400   132s: acct_R=2,075,064
  [45/109] block 18,418,800   133s: acct_R=2,143,925
